model,order,horizon,k,hit_at_k,recall_at_k,precision_at_k,mrr,num_samples
app_markov,2,3,1,0.046153846153846156,0.035897435897435895,0.046153846153846156,0.046153846153846156,715
app_markov,2,3,3,0.07832167832167833,0.06363636363636364,0.03310023310023309,0.06060606060606061,715
app_markov,2,3,5,0.0993006993006993,0.08321678321678323,0.03358974358974357,0.06564102564102565,715
app_markov,2,5,1,0.08951048951048951,0.06083916083916086,0.08951048951048951,0.08951048951048951,715
app_markov,2,5,3,0.2125874125874126,0.15652680652680648,0.07995337995338012,0.1419580419580419,715
app_markov,2,5,5,0.26433566433566436,0.2005827505827506,0.07235431235431249,0.15370629370629366,715
app_markov,2,10,1,0.16923076923076924,0.06160839160839161,0.16923076923076924,0.16923076923076924,715
app_markov,2,10,3,0.35524475524475524,0.14692307692307685,0.13100233100233075,0.250815850815851,715
app_markov,2,10,5,0.4853146853146853,0.21727272727272712,0.12116550116550177,0.2806060606060607,715
