version,model,horizon,k,hit_at_k,recall_at_k,precision_at_k,mrr,num_samples,train_loss
v2,app_lstm,3,1,0.057692307692307696,0.057692307692307696,0.057692307692307696,0.057692307692307696,52,0.18885757215321064
v2,app_lstm,3,3,0.09615384615384616,0.08653846153846154,0.03205128205128205,0.07051282051282051,52,0.18885757215321064
v2,app_lstm,3,5,0.1346153846153846,0.125,0.02692307692307692,0.08012820512820513,52,0.18885757215321064
v2,app_lstm,5,1,0.1346153846153846,0.09294871794871797,0.1346153846153846,0.1346153846153846,52,0.18885757215321064
v2,app_lstm,5,3,0.21153846153846154,0.15064102564102563,0.07051282051282051,0.16346153846153846,52,0.18885757215321064
v2,app_lstm,5,5,0.3269230769230769,0.28205128205128205,0.08076923076923079,0.18942307692307692,52,0.18885757215321064
v2,app_lstm,10,1,0.21153846153846154,0.07532051282051283,0.21153846153846154,0.21153846153846154,52,0.18885757215321064
v2,app_lstm,10,3,0.3269230769230769,0.18910256410256407,0.1474358974358974,0.25961538461538464,52,0.18885757215321064
v2,app_lstm,10,5,0.4230769230769231,0.2692307692307692,0.12307692307692311,0.2798076923076923,52,0.18885757215321064
