model,order,horizon,k,hit_at_k,recall_at_k,precision_at_k,mrr,num_samples
app_markov,2,3,1,0.03899721448467967,0.03301996285979573,0.03899721448467967,0.03899721448467967,2872
app_markov,2,3,3,0.09749303621169916,0.08402971216341691,0.03342618384401105,0.06348653667595178,2872
app_markov,2,3,5,0.14032033426183843,0.12227251624883935,0.029828226555246258,0.07323584029712167,2872
app_markov,2,5,1,0.09644846796657382,0.06885445682451258,0.09644846796657382,0.09644846796657382,2872
app_markov,2,5,3,0.21657381615598886,0.16228528319405755,0.07602135561745639,0.1487929433611883,2872
app_markov,2,5,5,0.3126740947075209,0.23644962859795735,0.06722376973073287,0.17060701021355545,2872
app_markov,2,10,1,0.2012534818941504,0.07500580315691761,0.2012534818941504,0.2012534818941504,2872
app_markov,2,10,3,0.4112116991643454,0.17448932219127095,0.1568012999071478,0.29079619312906296,2872
app_markov,2,10,5,0.5473537604456824,0.2504700557103074,0.13614206128133347,0.3218024605385352,2872
