addr	segment	vma	state	pfn	path
789230bbe000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bbf000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bc0000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bc1000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bc2000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bc3000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bc4000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bc5000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bc6000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bc7000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bc8000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bc9000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bca000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bcb000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bcc000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bcd000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bce000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bcf000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bd0000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bd1000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bd2000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bd3000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
